Career,Fitness,Humor,Religiosity,Interests,Rating (1-5)
FineArts,NotFit,Serious,SomewhatReligious,ShareSome,1
Business,VeryFit,Serious,VeryReligious,VeryDifferent,1
Business,NotFit,SomewhatFunny,NotReligious,VeryDifferent,1
Science,VeryFit,Serious,SomewhatReligious,ShareSome,1
Business,SomewhatFit,VeryFunny,VeryReligious,ShareSome,1
FineArts,NotFit,VeryFunny,VeryReligious,VeryDifferent,1
Science,NotFit,SomewhatFunny,VeryReligious,Identical,1
Business,SomewhatFit,VeryFunny,SomewhatReligious,Identical,1
Science,SomewhatFit,Serious,NotReligious,VeryDifferent,1
FineArts,VeryFit,SomewhatFunny,NotReligious,Identical,1
FineArts,SomewhatFit,SomewhatFunny,VeryReligious,ShareSome,1
Science,NotFit,VeryFunny,NotReligious,ShareSome,1
Business,NotFit,Serious,SomewhatReligious,Identical,1
FineArts,VeryFit,VeryFunny,SomewhatReligious,VeryDifferent,1
Business,VeryFit,SomewhatFunny,NotReligious,ShareSome,1
FineArts,SomewhatFit,Serious,NotReligious,Identical,1
Science,SomewhatFit,SomewhatFunny,SomewhatReligious,VeryDifferent,1
Science,VeryFit,VeryFunny,VeryReligious,Identical,1
